Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
tcp        0      0 0.0.0.0:5000            0.0.0.0:*               LISTEN     
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49530 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49098 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49482 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49440 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49550 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49424 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49242 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49548 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49472 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49602 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49434 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49598 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49566 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49240 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49558 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49578 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49532 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49432 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49450 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49586 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49426 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49394 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49464 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49508 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49584 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49456 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49536 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49590 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49446 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49506 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49416 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49568 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49386 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49414 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49442 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49480 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49418 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49428 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49588 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49462 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49604 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49534 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49474 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49576 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49448 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49570 TIME_WAIT  
tcp        0      0 xgcfcllyoxmhdfmtip:5000 192-168-155-200.n:49600 TIME_WAIT  
Active UNIX domain sockets (servers and established)
Proto RefCnt Flags       Type       State         I-Node   Path
